#question,correct_answer,incorrect_1,incorrect_2,incorrect_3,incorrect_4,incorrect_5,incorrect_6,incorrect_7,incorrect_8,incorrect_9,incorrect_10
Who won NBA MVP for the 2018–19 season?,Giannis Antetokounmpo,James Harden,LeBron James,Stephen Curry,Kawhi Leonard,Kevin Durant,Paul George,Nikola Jokic,Damian Lillard,Russell Westbrook,Anthony Davis
Which team won the 2020 NBA title inside the Orlando bubble?,Los Angeles Lakers,Miami Heat,Toronto Raptors,Boston Celtics,Denver Nuggets,Milwaukee Bucks,Houston Rockets,Dallas Mavericks,LA Clippers,Utah Jazz,Phoenix Suns
Who was the 2020 NBA Finals MVP?,LeBron James,Anthony Davis,Jimmy Butler,Bam Adebayo,Jayson Tatum,Nikola Jokic,Kawhi Leonard,Giannis Antetokounmpo,Luka Doncic,Chris Paul,Devin Booker
Which team won the 2021 NBA title?,Milwaukee Bucks,Phoenix Suns,Los Angeles Lakers,Brooklyn Nets,Utah Jazz,Denver Nuggets,Miami Heat,Philadelphia 76ers,Dallas Mavericks,LA Clippers,Boston Celtics
Who was the 2021 NBA Finals MVP?,Giannis Antetokounmpo,Chris Paul,Devin Booker,Khris Middleton,Jrue Holiday,Nikola Jokic,LeBron James,Stephen Curry,Kawhi Leonard,Jimmy Butler,Luka Doncic
Which team won the 2022 NBA title?,Golden State Warriors,Boston Celtics,Milwaukee Bucks,Phoenix Suns,Miami Heat,Memphis Grizzlies,Dallas Mavericks,Philadelphia 76ers,Denver Nuggets,LA Clippers,Atlanta Hawks
Who was the 2022 NBA Finals MVP?,Stephen Curry,Jayson Tatum,Jaylen Brown,Klay Thompson,Draymond Green,Andrew Wiggins,Giannis Antetokounmpo,Kevin Durant,Nikola Jokic,Jimmy Butler,Luka Doncic
Which team won the 2023 NBA title?,Denver Nuggets,Miami Heat,Los Angeles Lakers,Boston Celtics,Golden State Warriors,Phoenix Suns,Philadelphia 76ers,Memphis Grizzlies,Sacramento Kings,New York Knicks,Dallas Mavericks
Who was the 2023 NBA Finals MVP?,Nikola Jokic,Jamal Murray,Jimmy Butler,Bam Adebayo,LeBron James,Jayson Tatum,Stephen Curry,Kevin Durant,Kawhi Leonard,Devin Booker,Giannis Antetokounmpo
Which team won the 2024 NBA title?,Boston Celtics,Dallas Mavericks,Denver Nuggets,Miami Heat,Los Angeles Lakers,Golden State Warriors,Phoenix Suns,Oklahoma City Thunder,Minnesota Timberwolves,Philadelphia 76ers,New York Knicks
Who was the 2024 NBA Finals MVP?,Jaylen Brown,Jayson Tatum,Luka Doncic,Kyrie Irving,Derrick White,Jrue Holiday,Nikola Jokic,Anthony Edwards,Shai Gilgeous-Alexander,Stephen Curry,Giannis Antetokounmpo
What team changed from New Jersey to Brooklyn in 2012?,Nets,Knicks,76ers,Celtics,Raptors,Heat,Bulls,Wizards,Hawks,Magic,Pacers
Which franchise resumed the 'Hornets' name in Charlotte in 2014?,Charlotte Bobcats,New Orleans Pelicans,Memphis Grizzlies,Atlanta Hawks,Washington Wizards,Orlando Magic,Milwaukee Bucks,Detroit Pistons,Indiana Pacers,Cleveland Cavaliers,Toronto Raptors
Who was the 2010–11 NBA MVP?,Derrick Rose,LeBron James,Kobe Bryant,Kevin Durant,Dwight Howard,Dirk Nowitzki,Chris Paul,Dwyane Wade,Tim Duncan,Carmelo Anthony,Paul Pierce
Who won Rookie of the Year in 2011–12?,Kyrie Irving,Damian Lillard,Anthony Davis,Blake Griffin,Andrew Wiggins,Derrick Rose,Stephen Curry,Ja Morant,Zion Williamson,LaMelo Ball,Ben Simmons
Who was Defensive Player of the Year in 2014–15?,Kawhi Leonard,Draymond Green,Rudy Gobert,Giannis Antetokounmpo,Marc Gasol,Dwight Howard,Anthony Davis,Ben Wallace,Andre Iguodala,Patrick Beverley,DeAndre Jordan
Which coach led the Warriors to their 2015 title in his first season as head coach?,Steve Kerr,Mark Jackson,Gregg Popovich,Erik Spoelstra,Tyronn Lue,Doc Rivers,Mike Brown,Steve Nash,Jason Kidd,Monty Williams,Tom Thibodeau
Who was the No. 1 overall pick in the 2012 NBA Draft?,Anthony Davis,Kyrie Irving,Damian Lillard,Andrew Wiggins,Karl-Anthony Towns,Ben Simmons,Zion Williamson,Deandre Ayton,Blake Griffin,John Wall,Victor Oladipo
Which team won the first-ever NBA In-Season Tournament (NBA Cup) in 2023?,Los Angeles Lakers,Indiana Pacers,Milwaukee Bucks,Boston Celtics,Phoenix Suns,New Orleans Pelicans,Sacramento Kings,Denver Nuggets,Miami Heat,New York Knicks,Cleveland Cavaliers
Which team won the 2005 NBA Finals?,San Antonio Spurs,Detroit Pistons,Miami Heat,Phoenix Suns,Dallas Mavericks,Boston Celtics,Los Angeles Lakers,Cleveland Cavaliers,Houston Rockets,New Jersey Nets,Seattle SuperSonics
Who was the 2005 NBA Finals MVP?,Tim Duncan,Tony Parker,Manu Ginobili,Chauncey Billups,Ben Wallace,Shaquille O'Neal,Kobe Bryant,Dirk Nowitzki,Dwyane Wade,LeBron James,Steve Nash
Who was the 2006 NBA Finals MVP?,Dwyane Wade,Shaquille O'Neal,Dirk Nowitzki,Jason Terry,LeBron James,Kobe Bryant,Tim Duncan,Tony Parker,Chauncey Billups,Kevin Garnett,Paul Pierce
Which team won the 2007 NBA Finals?,San Antonio Spurs,Cleveland Cavaliers,Detroit Pistons,Los Angeles Lakers,Miami Heat,Dallas Mavericks,Phoenix Suns,Utah Jazz,Boston Celtics,Houston Rockets,Toronto Raptors
Who was the 2007 NBA Finals MVP?,Tony Parker,Tim Duncan,Manu Ginobili,LeBron James,Chauncey Billups,Kobe Bryant,Dirk Nowitzki,Dwyane Wade,Ray Allen,Paul Pierce,Kevin Garnett
Which team won the 2009 NBA Finals?,Los Angeles Lakers,Orlando Magic,Boston Celtics,San Antonio Spurs,Cleveland Cavaliers,Miami Heat,Denver Nuggets,Dallas Mavericks,Phoenix Suns,Houston Rockets,Philadelphia 76ers
Who was the 2009 NBA Finals MVP?,Kobe Bryant,Pau Gasol,Derek Fisher,Lamar Odom,Dwight Howard,LeBron James,Dwyane Wade,Tim Duncan,Dirk Nowitzki,Kevin Garnett,Ray Allen
Which team won the 2012 NBA Finals?,Miami Heat,Oklahoma City Thunder,San Antonio Spurs,Dallas Mavericks,Boston Celtics,Los Angeles Lakers,Chicago Bulls,Indiana Pacers,New York Knicks,Memphis Grizzlies,Denver Nuggets
Who was the 2012 NBA Finals MVP?,LeBron James,Dwyane Wade,Chris Bosh,Kevin Durant,Russell Westbrook,James Harden,Kobe Bryant,Tim Duncan,Tony Parker,Dirk Nowitzki,Paul Pierce
Which team won the 2014 NBA title?,San Antonio Spurs,Miami Heat,Oklahoma City Thunder,Indiana Pacers,Los Angeles Clippers,Houston Rockets,Golden State Warriors,Chicago Bulls,Dallas Mavericks,Memphis Grizzlies,Brooklyn Nets
Which rule allowing one coach's challenge per game was introduced league-wide in 2019–20?,Coach's Challenge,Elam Ending,Four-Point Line,Hand-Check Ban,Take-Foul Free Throw,Clear Path Foul,Anti-Flopping Technical,Reset to 24 Rule,Jump Ball Advance,Three-to-Make-Two,Hybrid Timeout
Which event resumed as a permanent feature in 2020–21 after a trial in 2020?,Play-In Tournament,Midseason Classic,Elam Ending,All-Star Draft,H-O-R-S-E Tournament,International Cup,Rookie-Sophomore Game,Home Court Series,Silver Series,Challenge Shootout,Legends Game
Who won NBA MVP for the 2020–21 season?,Nikola Jokic,Giannis Antetokounmpo,Joel Embiid,LeBron James,Stephen Curry,Luka Doncic,Damian Lillard,James Harden,Kawhi Leonard,Chris Paul,Jayson Tatum
Who won NBA MVP for the 2021–22 season?,Nikola Jokic,Joel Embiid,Giannis Antetokounmpo,Stephen Curry,LeBron James,Kevin Durant,Luka Doncic,Ja Morant,Devin Booker,Jayson Tatum,Trae Young
Who won NBA MVP for the 2022–23 season?,Joel Embiid,Nikola Jokic,Giannis Antetokounmpo,Luka Doncic,Stephen Curry,Jayson Tatum,Kevin Durant,LeBron James,Damian Lillard,Shai Gilgeous-Alexander,Jimmy Butler
Which franchise drafted Victor Wembanyama first overall in 2023?,San Antonio Spurs,Detroit Pistons,Houston Rockets,Charlotte Hornets,Portland Trail Blazers,Orlando Magic,Washington Wizards,Toronto Raptors,Indiana Pacers,Utah Jazz,Oklahoma City Thunder
Which team was home to Russell Westbrook when he won MVP in 2016–17?,Oklahoma City Thunder,Houston Rockets,Golden State Warriors,Cleveland Cavaliers,San Antonio Spurs,Utah Jazz,Portland Trail Blazers,Boston Celtics,Toronto Raptors,LA Clippers,Memphis Grizzlies
Who was the 2015–16 unanimous NBA MVP?,Stephen Curry,LeBron James,Kevin Durant,Kawhi Leonard,James Harden,Russell Westbrook,Anthony Davis,Chris Paul,Damian Lillard,Giannis Antetokounmpo,Joel Embiid
Which team did the Raptors defeat in the 2019 NBA Finals?,Golden State Warriors,Milwaukee Bucks,Philadelphia 76ers,Boston Celtics,Los Angeles Lakers,Houston Rockets,Portland Trail Blazers,Denver Nuggets,Indiana Pacers,San Antonio Spurs,Oklahoma City Thunder
